block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.19111304200004042,None,0,0,0,0,,,,,,,,,,,0,7,7,7,5.325074833000031,,,,,,,,,5.520138916000008,5.524888916000009,5.72974425000001,5.720266165999988,,,,,,,,,,,,5.32174683300002,5.325074833000031,5.325074833000031,5.520093207999992,space,0.19111304200004042,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.1605163750000429,None,0,0,0,0,,,,,,,,,,,0,8,8,8,5.72974425000001,,,,,,,,,5.903365833000009,5.908484708000003,6.108599207999987,6.103214165999987,,,,,,,,,,,,5.724255666000033,5.72974425000001,5.72974425000001,5.903310791000024,space,0.1605163750000429,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,space,0.1721582499999954,None,0,0,0,0,,,,,,,,,,,0,9,9,9,6.108599207999987,,,,,,,,,6.287161374999982,6.292412749999983,6.501568666000026,6.486616666000032,,,,,,,,,,,,6.106303166000032,6.108599207999987,6.108599207999987,6.287103124999987,space,0.1721582499999954,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.14225687499998685,None,0,0,0,0,,,,,,,,,,,0,10,10,10,6.501568666000026,,,,,,,,,6.653269458000011,6.657660291000013,6.8511243749999835,6.843029624999986,,,,,,,,,,,,6.4979561659999945,6.501568666000026,6.501568666000026,6.653228166000019,space,0.14225687499998685,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,space,0.13715299999995523,None,0,0,0,0,,,,,,,,,,,0,11,11,11,6.8511243749999835,,,,,,,,,6.990840625000033,7.001535832999991,7.1901177080000025,7.18585191599999,,,,,,,,,,,,6.847141833000023,6.8511243749999835,6.8511243749999835,6.990794999999991,space,0.13715299999995523,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,12,12,0,13,faces/NEM5.bmp,neutral,male,s,nonBI,happy,happy,hn,hnh1,space,0.15595741700002463,None,0,0,0,0,,,,,,,,,,,0,12,12,12,7.1901177080000025,,,,,,,,,7.353642416000014,7.358580166000024,7.551529625000001,7.542999250000037,,,,,,,,,,,,7.1884959999999865,7.1901177080000025,7.1901177080000025,7.353599874999986,space,0.15595741700002463,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,13,13,0,14,faces/HAM38.bmp,happy,male,s,BI,neutral,happy,nh,hnh,space,0.15574991700003693,None,0,0,0,0,,,,,,,,,,,0,13,13,13,7.551529625000001,,,,,,,,,7.7089454580000165,7.718179333000023,7.9167048749999935,7.90319333299999,,,,,,,,,,,,7.546375249999983,7.551529625000001,7.551529625000001,7.7088977500000055,space,0.15574991700003693,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,14,14,0,15,faces/HAF110.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.18038658299997223,None,0,0,0,0,,,,,,,,,,,0,14,14,14,7.9167048749999935,,,,,,,,,8.104116625000017,8.109728458000006,8.309090500000025,8.303235666000035,,,,,,,,,,,,7.913310582999998,7.9167048749999935,7.9167048749999935,8.104063832999998,space,0.18038658299997223,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,15,15,0,16,faces/SAM7.bmp,sad,male,s,nonBI,happy,happy,hs,hsn1,space,0.26803204200001574,None,0,0,0,0,,,,,,,,,,,0,15,15,15,8.309090500000025,,,,,,,,,8.587530249999986,8.593215665999992,8.791207291000035,8.78645154100002,,,,,,,,,,,,8.306876165999995,8.309090500000025,8.309090500000025,8.587481707999984,space,0.26803204200001574,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,16,16,0,17,faces/NEF35.bmp,neutral,female,s,control,sad,happy,sn,hsn,space,0.2204706669999723,None,0,0,0,0,,,,,,,,,,,0,16,16,16,8.791207291000035,,,,,,,,,9.021003124999993,9.026817999999992,9.225226582999994,9.220019165999986,,,,,,,,,,,,8.789032375000033,8.791207291000035,8.791207291000035,9.020956749999982,space,0.2204706669999723,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,17,17,0,18,faces/NEM6.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.2965858340000409,None,0,0,0,0,,,,,,,,,,,0,17,17,17,9.225226582999994,,,,,,,,,9.52455095800002,9.534927958000026,9.733029875,9.720018125000024,,,,,,,,,,,,9.222566166000036,9.225226582999994,9.225226582999994,9.524510958000008,space,0.2965858340000409,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,18,18,0,19,faces/SAF20.bmp,sad,female,s,nonBI,neutral,neutral,ns,nsn1,space,0.1930055409999909,None,0,0,0,0,,,,,,,,,,,0,18,18,18,9.733029875,,,,,,,,,9.93791408300001,9.944016833000035,10.142403583000032,10.136670374999994,,,,,,,,,,,,9.72954229100003,9.733029875,9.733029875,9.937856708000027,space,0.1930055409999909,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,19,19,0,20,faces/NEM15.bmp,neutral,male,s,BI,sad,neutral,sn,nsn,space,0.248862416999998,None,0,0,0,0,,,,,,,,,,,0,19,19,19,10.142403583000032,,,,,,,,,10.404381208000018,10.410237790999986,10.609492791000037,10.603397958000016,,,,,,,,,,,,10.139740708000033,10.142403583000032,10.142403583000032,10.404330875000028,space,0.248862416999998,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,20,20,0,21,faces/NEM59.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.23061508300003197,None,0,0,0,0,,,,,,,,,,,0,20,20,20,10.609492791000037,,,,,,,,,10.84138462499999,10.851801125000009,11.050426125000001,11.03682091600001,,,,,,,,,,,,10.606905541000003,10.609492791000037,10.609492791000037,10.841339790999996,space,0.23061508300003197,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
block_practice_1.xlsx,688,21,21,0,22,faces/SAF32.bmp,sad,female,s,nonBI,neutral,neutral,ns,non,space,0.34529212499995765,None,0,0,0,0,,,,,,,,,,,0,21,21,21,11.050426125000001,,,,,,,,,11.404259582999998,11.410140708000029,11.62480745800002,11.603470625,,,,,,,,,,,,11.04696420800002,11.050426125000001,11.050426125000001,11.404205416000025,space,0.34529212499995765,None,,,,,,,,,,,,,,,,,,,,,,,,743645,001,2025-08-01_17h31.40.422,TIST,2024.2.4,None,2025-08-01 17h31.46.468650 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.58870625000003,37.59069229099998,37.79932766600001,37.788253499999996,,,,,,,,,,,,,,,,,,,11.609993833000033,11.62480745800002,11.62480745800002,11.62480745800002,11.62480745800002,11.62480745800002,0.0057776670000180275,37.588050708000026,1,2,2,"[-0.005, 0.045, 0.17666666666666667, 0.2, -0.135, 0.008333333333333333, 0.043333333333333335, 0.03]","[0.008333333333333333, -0.03, -0.023333333333333334, -0.041666666666666664, -0.018333333333333333, -0.013333333333333334, -0.03833333333333333, -0.36666666666666664]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[7.751236790999997, 8.27661412499998, 9.76011566599999, 10.210066665999989, 13.993862125000021, 16.27731912500002, 18.43233454099999, 25.977746458000013]","[None, None, None, None, None, None, None, 'button_text_block_practice']",0,37.79577495799998,37.79932766600001,37.79932766600001,37.79932766600001,,,,,,,,
