block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.2428671249999752,None,0,0,0,0,,,,,,,,,,,0,6,6,6,5.588234749999856,,,,,,,,,5.832999833000031,5.8438470829999005,6.033297833000006,6.029109999999946,,,,,,,,,,,,5.584235999999919,5.588234749999856,5.588234749999856,5.832949332999988,space,0.2428671249999752,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.2767493750000085,None,0,0,0,0,,,,,,,,,,,0,7,7,7,6.033297833000006,,,,,,,,,6.313548290999961,6.316353790999983,6.518459249999978,6.5125166660000104,,,,,,,,,,,,6.031066915999872,6.033297833000006,6.033297833000006,6.313495124999918,space,0.2767493750000085,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.19734025000002475,None,0,0,0,0,,,,,,,,,,,0,8,8,8,6.518459249999978,,,,,,,,,6.71718220799994,6.72721512499993,6.919467457999872,6.912827707999895,,,,,,,,,,,,6.515762750000022,6.518459249999978,6.518459249999978,6.717132999999876,space,0.19734025000002475,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,space,0.24728699999991477,None,0,0,0,0,,,,,,,,,,,0,9,9,9,6.919467457999872,,,,,,,,,7.180027375000009,7.185384874999954,7.392652540999961,7.378945250000015,,,,,,,,,,,,6.916630040999962,6.919467457999872,6.919467457999872,7.179980624999871,space,0.24728699999991477,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.20817241700001432,None,0,0,0,0,,,,,,,,,,,0,10,10,10,7.392652540999961,,,,,,,,,7.613026166000054,7.617596915999911,7.818499374999874,7.812342374999844,,,,,,,,,,,,7.389151082999888,7.392652540999961,7.392652540999961,7.612983750000012,space,0.20817241700001432,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,space,0.23169675000008283,None,0,0,0,0,,,,,,,,,,,0,11,11,11,7.818499374999874,,,,,,,,,8.05241487499984,8.06056591599986,8.252275000000054,8.245906665999883,,,,,,,,,,,,7.815910124999846,7.818499374999874,7.818499374999874,8.052380665999863,space,0.23169675000008283,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,12,12,0,13,faces/NEM5.bmp,neutral,male,s,nonBI,happy,happy,hn,hnh1,space,0.26406391699993037,None,0,0,0,0,,,,,,,,,,,0,12,12,12,8.252275000000054,,,,,,,,,8.517717833000006,8.527619540999922,8.718365707999965,8.712548875000039,,,,,,,,,,,,8.249582333000035,8.252275000000054,8.252275000000054,8.517669583000043,space,0.26406391699993037,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,13,13,0,14,faces/HAM38.bmp,happy,male,s,BI,neutral,happy,nh,hnh,space,0.2472459999999046,None,0,0,0,0,,,,,,,,,,,0,13,13,13,8.718365707999965,,,,,,,,,8.967225582999845,8.977681915999938,9.172906999999896,9.162073457999895,,,,,,,,,,,,8.716056208000055,8.718365707999965,8.718365707999965,8.967183415999898,space,0.2472459999999046,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,14,14,0,15,faces/HAF110.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.24281504100008533,None,0,0,0,0,,,,,,,,,,,0,14,14,14,9.172906999999896,,,,,,,,,9.418006332999994,9.427398499999981,9.618879416000027,9.613283958000011,,,,,,,,,,,,9.170070124999938,9.172906999999896,9.172906999999896,9.41794875000005,space,0.24281504100008533,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,15,15,0,16,faces/SAM7.bmp,sad,male,s,nonBI,happy,happy,hs,hsn1,space,0.21646175000000767,None,0,0,0,0,,,,,,,,,,,0,15,15,15,9.618879416000027,,,,,,,,,9.847218165999948,9.853189208000003,10.050918415999831,10.045629125000005,,,,,,,,,,,,9.616341790999968,9.618879416000027,9.618879416000027,9.847154790999866,space,0.21646175000000767,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,16,16,0,17,faces/NEF35.bmp,neutral,female,s,control,sad,happy,sn,hsn,space,0.20472749999998996,None,0,0,0,0,,,,,,,,,,,0,16,16,16,10.050918415999831,,,,,,,,,10.26371595799992,10.26938820800001,10.46761254099988,10.462587708000001,,,,,,,,,,,,10.048517707999963,10.050918415999831,10.050918415999831,10.263661250000041,space,0.20472749999998996,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,17,17,0,18,faces/NEM6.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.23875512499989782,None,0,0,0,0,,,,,,,,,,,0,17,17,17,10.46761254099988,,,,,,,,,10.713209000000006,10.718033290999983,,10.913375582999834,,,,,,,,,,,,10.465055915999983,10.46761254099988,10.46761254099988,10.713165832999948,space,0.23875512499989782,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,18,18,0,19,faces/SAF20.bmp,sad,female,s,nonBI,neutral,neutral,ns,nsn1,space,0.2593009169997913,None,0,0,0,0,,,,,,,,,,,0,18,18,18,10.925737000000026,,,,,,,,,11.197090582999863,11.202724665999995,11.401646708000044,11.395896041000015,,,,,,,,,,,,10.921916666000016,10.925737000000026,10.925737000000026,11.197034207999877,space,0.2593009169997913,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,19,19,0,20,faces/NEM15.bmp,neutral,male,s,BI,sad,neutral,sn,nsn,space,0.21876379100012855,None,0,0,0,0,,,,,,,,,,,0,19,19,19,11.401646708000044,,,,,,,,,11.630256165999981,11.635686124999893,11.8461138749999,11.829433540999844,,,,,,,,,,,,11.398899915999891,11.401646708000044,11.401646708000044,11.630209165999986,space,0.21876379100012855,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,20,20,0,21,faces/NEM59.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.1972394169999916,None,0,0,0,0,,,,,,,,,,,0,20,20,20,11.8461138749999,,,,,,,,,12.046780665999904,12.050423874999979,12.25996699999996,12.246165290999897,,,,,,,,,,,,11.832983790999833,11.8461138749999,11.8461138749999,12.046734540999978,space,0.1972394169999916,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
block_practice_1.xlsx,688,21,21,0,22,faces/SAF32.bmp,sad,female,s,nonBI,neutral,neutral,ns,non,space,0.2910102910000205,None,0,0,0,0,,,,,,,,,,,0,21,21,21,12.25996699999996,,,,,,,,,12.553453290999869,12.56121016599991,12.760448499999939,12.74563308300003,,,,,,,,,,,,12.256307749999905,12.25996699999996,12.25996699999996,12.553408624999975,space,0.2910102910000205,None,,,,,,,,,,,,,,,,,,,886002,001,2025-08-01_16h41.59.364,TIST,2024.2.4,None,2025-08-01 16h42.05.849522 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.751356875000056,12.760448499999939,12.760448499999939,12.760448499999939,12.760448499999939,12.760448499999939,0.008057042000018555,14.822194249999939,1,,,[],[],[],[],[],[],[],,,,,,,,
