block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,key_resp_block_practice.keys,key_resp_block_practice.rt,key_resp_block_practice.duration,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,refresh.stopped,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,text_refresh.stopped,fixation.started,text_fixation.started,text_fixation.stopped,fixation.stopped,block_practice.started,image_block_practice.started,key_resp_block_practice.started,block_practice.stopped,loop_block_practice.key_resp_block_practice.keys,loop_block_practice.key_resp_block_practice.rt,loop_block_practice.key_resp_block_practice.duration,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
block_practice_1.xlsx,688,6,6,0,7,faces/SAM6.bmp,sad,male,s,BI,neutral,sad,ns,sns,space,0.1325845419999041,None,0,0,0,0,,,,,,,,,,,0,6,6,6,5.025907666999956,,,,,,,,,5.163353874999984,5.16857025000013,5.3625128329999825,,,,,,,,5.367444624999962,,,,,5.022044542000003,5.025907666999956,5.025907666999956,5.163296707999962,space,0.1325845419999041,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,7,7,0,8,faces/SAF3.bmp,sad,female,ns,nonBI,sad,neutral,ss,non,space,0.16496170799996435,None,0,0,0,0,,,,,,,,,,,0,7,7,7,5.367444624999962,,,,,,,,,5.533780875000048,5.544212167000069,5.729113374999997,,,,,,,,5.733118207999951,,,,,5.364455292000002,5.367444624999962,5.367444624999962,5.533736458000021,space,0.16496170799996435,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,8,8,0,9,faces/NEM4.bmp,neutral,male,s,nonBI,sad,sad,sn,snh1,space,0.12999579200004518,None,0,0,0,0,,,,,,,,,,,0,8,8,8,5.733118207999951,,,,,,,,,5.867011416999958,5.877363249999917,6.062593124999921,,,,,,,,6.06674391699994,,,,,5.730673582999998,5.733118207999951,5.733118207999951,5.866973583000117,space,0.12999579200004518,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,9,9,0,10,faces/HAF59.bmp,happy,female,s,control,neutral,sad,nh,snh,space,0.1413025409999591,None,0,0,0,0,,,,,,,,,,,0,9,9,9,6.06674391699994,,,,,,,,,6.213282791999973,6.2156499580000855,6.399748708000061,,,,,,,,6.413661000000047,,,,,6.064078791999918,6.06674391699994,6.06674391699994,6.213241041999936,space,0.1413025409999591,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.1848254999999881,None,0,0,0,0,,,,,,,,,,,0,10,10,10,6.413661000000047,,,,,,,,,6.601050541999939,6.6109227500001,6.795645917000002,,,,,,,,6.7992909170000075,,,,,6.41013716700013,6.413661000000047,6.413661000000047,6.6010068329999285,space,0.1848254999999881,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,space,0.18919512499996927,None,0,0,0,0,,,,,,,,,,,0,11,11,11,6.7992909170000075,,,,,,,,,6.9967722080000385,7.002087042000085,7.1959545830000025,,,,,,,,7.199866082999961,,,,,6.797162792000108,6.7992909170000075,6.7992909170000075,6.996727624999949,space,0.18919512499996927,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,12,12,0,13,faces/NEM5.bmp,neutral,male,s,nonBI,happy,happy,hn,hnh1,space,0.20780474999992293,None,0,0,0,0,,,,,,,,,,,0,12,12,12,7.199866082999961,,,,,,,,,7.413483499999984,7.4190936249999595,7.612698124999952,,,,,,,,7.617113582999991,,,,,7.197522875000004,7.199866082999961,7.199866082999961,7.413437832999989,space,0.20780474999992293,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,13,13,0,14,faces/HAM38.bmp,happy,male,s,BI,neutral,happy,nh,hnh,space,0.18083687500006818,None,0,0,0,0,,,,,,,,,,,0,13,13,13,7.617113582999991,,,,,,,,,7.801055292000001,7.8111220000000685,7.995981292000124,,,,,,,,8.009940874999984,,,,,7.614201542000046,7.617113582999991,7.617113582999991,7.801012791999938,space,0.18083687500006818,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,14,14,0,15,faces/HAF110.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,space,0.16330437499982509,None,0,0,0,0,,,,,,,,,,,0,14,14,14,8.009940874999984,,,,,,,,,8.179928208000092,8.185160875000065,8.379280583000082,,,,,,,,8.383782207999957,,,,,8.006523792000053,8.009940874999984,8.009940874999984,8.179889958000103,space,0.16330437499982509,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,15,15,0,16,faces/SAM7.bmp,sad,male,s,nonBI,happy,happy,hs,hsn1,space,0.23996870799987846,None,0,0,0,0,,,,,,,,,,,0,15,15,15,8.383782207999957,,,,,,,,,8.63058537500001,8.63535729199998,8.829434666999987,,,,,,,,8.833883250000099,,,,,8.38095475,8.383782207999957,8.383782207999957,8.630540082999914,space,0.23996870799987846,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,16,16,0,17,faces/NEF35.bmp,neutral,female,s,control,sad,happy,sn,hsn,space,0.17957825000007688,None,0,0,0,0,,,,,,,,,,,0,16,16,16,8.833883250000099,,,,,,,,,9.017895500000122,9.02782312499994,9.2123610000001,,,,,,,,9.216207250000025,,,,,8.830959249999978,8.833883250000099,8.833883250000099,9.017851207999911,space,0.17957825000007688,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,17,17,0,18,faces/NEM6.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.2324569159998191,None,0,0,0,0,,,,,,,,,,,0,17,17,17,9.216207250000025,,,,,,,,,9.451054583000086,9.461137374999907,9.646199999999908,,,,,,,,9.66039187499996,,,,,9.21362924999994,9.216207250000025,9.216207250000025,9.451012042000002,space,0.2324569159998191,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,18,18,0,19,faces/SAF20.bmp,sad,female,s,nonBI,neutral,neutral,ns,nsn1,space,0.14862783400008084,None,0,0,0,0,,,,,,,,,,,0,18,18,18,9.66039187499996,,,,,,,,,9.813594250000051,9.816497457999958,10.012561042000016,,,,,,,,10.017068332999997,,,,,9.65684525000006,9.66039187499996,9.66039187499996,9.813549375000093,space,0.14862783400008084,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,19,19,0,20,faces/NEM15.bmp,neutral,male,s,BI,sad,neutral,sn,nsn,space,0.15051891699999942,None,0,0,0,0,,,,,,,,,,,0,19,19,19,10.017068332999997,,,,,,,,,10.180231374999948,10.185883291999971,10.379382957999951,,,,,,,,10.383048250000002,,,,,10.01423237500012,10.017068332999997,10.017068332999997,10.180186667000044,space,0.15051891699999942,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,20,20,0,21,faces/NEM59.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,space,0.1309220410000762,None,0,0,0,0,,,,,,,,,,,0,20,20,20,10.383048250000002,,,,,,,,,10.517815666999923,10.527901542000109,10.712957458000119,,,,,,,,10.725369,,,,,10.380819041999985,10.383048250000002,10.383048250000002,10.517776458000071,space,0.1309220410000762,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
block_practice_1.xlsx,688,21,21,0,22,faces/SAF32.bmp,sad,female,s,nonBI,neutral,neutral,ns,non,space,0.14842924999993556,None,0,0,0,0,,,,,,,,,,,0,21,21,21,10.725369,,,,,,,,,10.88072795800008,10.886310374999994,11.079413333000048,,,,,,,,11.101921875000016,,,,,10.721837083000082,10.725369,10.725369,10.880686749999995,space,0.14842924999993556,None,,,,,,,,,,,,,,,,,,,,,,,,412348,001,2025-08-01_17h16.13.360,TIST,2024.2.4,None,2025-08-01 17h16.18.177974 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.59963833300003,50.60139362500013,50.798348583000006,,,,,,,,50.80811054200012,,,,,,,,,,,,11.08441474999995,11.101921875000016,11.101921875000016,11.101921875000016,11.101921875000016,11.101921875000016,0.0037219169998934376,50.59871558300006,1,2,3,"[-0.14166666666666666, -0.005, -0.14666666666666667, 0.018333333333333333, 0.0033333333333333335, 0.05, 0.04833333333333333, 0.19333333333333333, -0.11833333333333333, -0.10333333333333333, 0.05, 0.04666666666666667, 0.19666666666666666, 0.155, 0.008333333333333333, -0.13333333333333333, 0.013333333333333334, 0.041666666666666664, 0.051666666666666666, 0.05333333333333334, 0.07333333333333333, 0.04, -0.008333333333333333, -0.016666666666666666, 0.006666666666666667, 0.0016666666666666668, 0.18833333333333332, 0.035, 0.0033333333333333335]","[-0.005, -0.006666666666666667, -0.01, 0.0, -0.018333333333333333, -0.005, -0.03, -0.028333333333333332, -0.03666666666666667, -0.03333333333333333, -0.041666666666666664, -0.03666666666666667, -0.015, 0.021666666666666667, 0.02, 0.028333333333333332, 0.02, -0.028333333333333332, -0.03666666666666667, -0.01, -0.043333333333333335, -0.045, -0.041666666666666664, 0.0033333333333333335, 0.006666666666666667, 0.045, 0.005, 0.035, -0.3466666666666667]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.1948399999998855, 2.210654833000035, 2.6774937499999396, 6.577802125000062, 7.0843048750000435, 7.767650457999935, 8.195050666000043, 9.61136549999992, 11.478024166000068, 12.36787174999995, 13.401132291000067, 13.984591165999973, 14.967878208000002, 25.55149712499997, 26.30183091599997, 27.229812625000022, 28.34668462500008, 28.89629412499994, 29.351897833000066, 29.84606883299989, 30.318367541000043, 30.701953499999945, 31.146381999999903, 31.54620970799988, 31.86319024999989, 32.229501249999885, 33.86857316600003, 34.83582154100009, 39.51376637499993]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'button_text_block_practice']",0,50.80489920800005,50.80811054200012,50.80811054200012,50.80811054200012,,,,,,,,
