block_practice_file,correct_answer,thisN,thisTrialN,thisRepN,stimuli_no,stimulus,valence,sex,switch_condition,BI_condition,minus1_valence,minus2_valence,switch_type,BI_type,loop_practice.thisRepN,loop_practice.thisTrialN,loop_practice.thisN,loop_practice.thisIndex,textbox_answer_block_practice1.text,textbox_answer_block_practice2.text,textbox_answer_block_practice3.text,mouse_block_practice.x,mouse_block_practice.y,mouse_block_practice.leftButton,mouse_block_practice.midButton,mouse_block_practice.rightButton,mouse_block_practice.time,mouse_block_practice.clicked_name,loop_block_practice.thisRepN,loop_block_practice.thisTrialN,loop_block_practice.thisN,loop_block_practice.thisIndex,thisRow.t,notes,welcome.started,image_welcome.started,key_resp_welcome.started,welcome.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,practice_instruct.started,image_practice_instruct.started,key_resp_practice_instruct.started,practice_instruct.stopped,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,key_resp_practice_instruct.duration,fixation.started,text_fixation.started,fixation.stopped,answer_block_practice.started,text_answer_block_practice.started,textbox_answer_block_practice1.started,textbox_answer_block_practice2.started,textbox_answer_block_practice3.started,button_text_block_practice.started,mouse_block_practice.started,answer_block_practice.stopped,loop_practice.textbox_answer_block_practice1.text,loop_practice.textbox_answer_block_practice2.text,loop_practice.textbox_answer_block_practice3.text,loop_practice.mouse_block_practice.x,loop_practice.mouse_block_practice.y,loop_practice.mouse_block_practice.leftButton,loop_practice.mouse_block_practice.midButton,loop_practice.mouse_block_practice.rightButton,loop_practice.mouse_block_practice.time,loop_practice.mouse_block_practice.clicked_name,num_correct,feedback_block_practice.started,text_feedback_block_practice.started,text_feedback_note_practice.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
block_practice_1.xlsx,688,10,10,0,11,faces/HAF107.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,0,0,0,0,,,,,,,,,,,0,10,10,10,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,11,11,0,12,faces/HAM9.bmp,happy,male,ns,nonBI,happy,happy,hh,non,0,0,0,0,,,,,,,,,,,0,11,11,11,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,12,12,0,13,faces/NEM5.bmp,neutral,male,s,nonBI,happy,happy,hn,hnh1,0,0,0,0,,,,,,,,,,,0,12,12,12,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,13,13,0,14,faces/HAM38.bmp,happy,male,s,BI,neutral,happy,nh,hnh,0,0,0,0,,,,,,,,,,,0,13,13,13,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,14,14,0,15,faces/HAF110.bmp,happy,female,ns,nonBI,happy,neutral,hh,non,0,0,0,0,,,,,,,,,,,0,14,14,14,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,15,15,0,16,faces/SAM7.bmp,sad,male,s,nonBI,happy,happy,hs,hsn1,0,0,0,0,,,,,,,,,,,0,15,15,15,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,16,16,0,17,faces/NEF35.bmp,neutral,female,s,control,sad,happy,sn,hsn,0,0,0,0,,,,,,,,,,,0,16,16,16,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,17,17,0,18,faces/NEM6.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,0,0,0,0,,,,,,,,,,,0,17,17,17,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,18,18,0,19,faces/SAF20.bmp,sad,female,s,nonBI,neutral,neutral,ns,nsn1,0,0,0,0,,,,,,,,,,,0,18,18,18,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,19,19,0,20,faces/NEM15.bmp,neutral,male,s,BI,sad,neutral,sn,nsn,0,0,0,0,,,,,,,,,,,0,19,19,19,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,20,20,0,21,faces/NEM59.bmp,neutral,male,ns,nonBI,neutral,sad,nn,non,0,0,0,0,,,,,,,,,,,0,20,20,20,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
block_practice_1.xlsx,688,21,21,0,22,faces/SAF32.bmp,sad,female,s,nonBI,neutral,neutral,ns,non,0,0,0,0,,,,,,,,,,,0,21,21,21,2.43850400000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362221,001,2025-08-01_17h01.51.410,TIST,2024.2.4,None,2025-08-01 17h01.56.969323 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4284922080000797,2.43850400000008,2.43850400000008,2.43850400000008,2.43850400000008,2.43850400000008,0.018460916999970323,22.160842000000002,2,3,2,"[0.006666666666666667, 0.0033333333333333335, 0.1, 0.005, -0.018333333333333333, -0.028333333333333332, 0.005, 0.0016666666666666668, 0.011666666666666667]","[-0.006666666666666667, -0.0016666666666666668, -0.006666666666666667, 0.0033333333333333335, 0.0033333333333333335, -0.01, -0.013333333333333334, -0.008333333333333333, -0.35833333333333334]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[3.630837958000029, 5.6702410830000645, 6.63023208300001, 8.164337292000027, 9.003468708000014, 9.753560458000038, 10.9368803750001, 14.981511375000082, 19.731764]","[None, None, None, None, None, None, None, None, 'button_text_block_practice']",0,22.166322750000063,22.16851225000005,22.16851225000005,22.16851225000005,,,,,,,,
